 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,gigacart
Project Path,D:\work\TI\dragonslair\cart\cpld
Project Fitted on,Tue Sep 25 23:48:05 2018

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,I_O,0,A8,,,,
4,I_O,0,A9,,,,
5,I_O,0,A10,,,,
6,I_O,0,A11,,,,
7,GNDIO0,-,,,,,
8,I_O,0,A12,,,,
9,I_O,0,A13,,,,
10,I_O,0,A14,,,,
11,I_O,0,A15,,,,
12,IN0,0,,,,,
13,VCCIO0,-,,,,,
14,I_O,0,B15,,,,
15,I_O,0,B14,,,,
16,I_O,0,B13,,,,
17,I_O,0,B12,,,,
18,GNDIO0,-,,,,,
19,I_O,0,B11,,,,
20,I_O,0,B10,,,,
21,I_O,0,B9,,,,
22,I_O,0,B8,,,,
23,IN1,0,,,,,
24,TCK,-,,,,,
25,VCC,-,,,,,
26,GND,-,,,,,
27,IN2,0,,,,,
28,I_O,0,B7,,,,
29,I_O,0,B6,,,,
30,I_O,0,B5,,,,
31,I_O,0,B4,,,,
32,GNDIO0,-,,,,,
33,VCCIO0,-,,,,,
34,I_O,0,B3,,,,
35,I_O,0,B2,,,,
36,I_O,0,B1,,,,
37,I_O,0,B0,,,,
38,INCLK1,0,,,,,
39,INCLK2,1,,,,,
40,VCC,-,,,,,
41,I_O,1,C0,,,,
42,I_O,1,C1,,,,
43,I_O,1,C2,,,,
44,I_O,1,C3,,,,
45,VCCIO1,-,,,,,
46,GNDIO1,-,,,,,
47,I_O,1,C4,,,,
48,I_O,1,C5,,,,
49,I_O,1,C6,,,,
50,I_O,1,C7,,,,
51,GND,-,,,,,
52,TMS,-,,,,,
53,I_O,1,C8,,,,
54,I_O,1,C9,,,,
55,I_O,1,C10,,,,
56,I_O,1,C11,,,,
57,GNDIO1,-,,,,,
58,I_O,1,C12,,,,
59,I_O,1,C13,,,,
60,I_O,1,C14,,,,
61,I_O,1,C15,,,,
62,IN3,1,,,,,
63,VCCIO1,-,,,,,
64,I_O,1,D15,,,,
65,I_O,1,D14,,,,
66,I_O,1,D13,,,,
67,I_O,1,D12,,,,
68,GNDIO1,-,,,,,
69,I_O,1,D11,,,,
70,I_O,1,D10,,,,
71,I_O,1,D9,,,,
72,I_O,1,D8,,,,
73,IN4,1,,,,,
74,TDO,-,,,,,
75,VCC,-,,,,,
76,GND,-,,,,,
77,IN5,1,,,,,
78,I_O,1,D7,,,,
79,I_O,1,D6,,,,
80,I_O,1,D5,,,,
81,I_O,1,D4,,,,
82,GNDIO1,-,,,,,
83,VCCIO1,-,,,,,
84,I_O,1,D3,,,,
85,I_O,1,D2,,,,
86,I_O,1,D1,,,,
87,I_O/OE,1,D0,,,,
88,INCLK3,1,,,,,
89,INCLK0,0,,,,,
90,VCC,-,,,,,
91,I_O/OE,0,A0,,,,
92,I_O,0,A1,,,,
93,I_O,0,A2,,,,
94,I_O,0,A3,,,,
95,VCCIO0,-,,,,,
96,GNDIO0,-,,,,,
97,I_O,0,A4,,,,
98,I_O,0,A5,,,,
99,I_O,0,A6,,,,
100,I_O,0,A7,,,,
