"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TSOP-56";1;"S29GL01G-128MB-Flash";;;
2;"C1,C2,C4,C5,C7,C11,C12,C13,C3,C6,C8,C9,C10";"C_0603_HandSoldering";13;"1nF";;;
3;"C14,C15";"C_0805_HandSoldering";2;"1uF";;;
4;"J1";"BUS_TI99_CART";1;"Bus_TI994A_Cart";;;
5;"J2";"PINHEAD1-6";1;"Conn_01x06";;;
6;"R1";"R_1206_HandSoldering";1;"47^";;;
7;"U1";"TO-92_Inline_Narrow_Oval";1;"MCP1700-3302E_TO92";;;
8;"";"MountingHole_5mm";1;"";;;
9;"";"LOGO_HL_SILVYR";1;"";;;
10;"U3";"TQFP-100_14x14mm_Pitch0.5mm";1;"GigaCart_CPLD_LC4064";;;
11;"E1,E2,E3,E4,35";"1pin";5;".";;;
