0000	00Attract.bin
0182	a1drawbridge.bin
02DF	b2drinkme.bin
036e	b2vines.bin
0486	b2wind.bin
052c	b3fire.bin
05f3	b3pot.bin
06c6	b3throne.bin
0791	b4goons.bin
0888	b4snakes.bin
0936	b4wall.bin
09c6	c5lizardking.bin
0b44	c5pit.bin
0c2f	c5ropes1.bin
0d08	c5ropes2.bin
0de1	c6horse1.bin
0eef	c6horse2.bin
100b	c6smithy1.bin
1166	c6smithy2.bin
12c0	c6wizard1.bin
13f4	c6wizard2.bin
1529	c7crypt1.bin
1631	c7crypt2.bin
1739	c7knight1.bin
1851	c7knight2.bin
1969	c7pond1.bin
1adc	c7pond2.bin
1c4e	dplatform.bin
1d72	ebats.bin
1e43	eblacknight.bin
1f15	ecatwalk.bin
1fdf	eelectriccage.bin
20a3	emudmen.bin
2256	epoolballs.bin
2356	eriver.bin
25bf	evanishingfloor.bin
2676	fdragonslair.bin
2a67	(last frame)

